source,country,bias,factual_reporting,press_freedom,media_type,popularity,mbfc_credibility_rating,nela_gt_label
harvard.edu,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
hastingstribune.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
hdnews.net,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
herald-review.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
dailybreeze.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
heterodoxacademy.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
hickoryrecord.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
homelandsecuritynewswire.com,usa,least biased,high,mostly free,website,minimal traffic,high credibility,reliable
howstuffworks.com,usa,least biased,very high,mostly free,website,high traffic,high credibility,reliable
howtogeek.com,usa,least biased,very high,mostly free,website,high traffic,high credibility,reliable
i24news.tv,israel,least biased,mixed,moderate freedom,website,medium traffic,medium credibility,mixed
idahostatesman.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
inc.com,usa,least biased,high,mostly free,magazine,high traffic,high credibility,reliable
helenair.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
ivn.us,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
indexmundi.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
indystar.com,usa,least biased,high,mostly free,newspaper,high traffic,high credibility,reliable
dailybulletin.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
iwpr.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
ipi.media,austria,least biased,very high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
investing.com,cyprus,least biased,mixed,mostly free,website,high traffic,medium credibility,mixed
investopedia.com,usa,least biased,high,mostly free,website,high traffic,high credibility,reliable
ipsos.com,france,least biased,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
ironmountaindailynews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
jaxdailyrecord.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
japantimes.co.jp,japan,least biased,high,moderate freedom,newspaper,high traffic,high credibility,reliable
kaaltv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
abc7.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility,reliable
kadn.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility,reliable
kagstv.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility,reliable
kait8.com,usa,least biased,high,mostly free,tv station,mediumtraffic,high credibility,reliable
kalb.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
everythinglubbock.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
myhighplains.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
yaktrinews.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
myarklamiss.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
kare11.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility,reliable
kark.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
katc.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
alaskasnewssource.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
newschannel6now.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
crossroadstoday.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility,reliable
kbjr6.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
12newsnow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
kbtx.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
kcbd.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
kcci.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
thedenverchannel.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility,reliable
kcentv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
newspressnow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
kcrg.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
q13fox.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
kcra.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility,reliable
kctv5.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
wyomingnewsnow.tv,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility,reliable
cw33.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
cbs4local.com,usa,right-center,high,mostly free,tv station,medium traffic,high credibility,reliable
fox4news.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility,reliable
kdrv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
kdvr.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
kearneyhub.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
keloland.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
kens5.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
myeasternshoremd.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
turnto23.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
kesq.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
