source,country,bias,factual_reporting,press_freedom,media_type,popularity,mbfc_credibility_rating,nela_gt_label
goodmenproject.com,usa,left,high,mostly free,website,medium traffic,high credibility,reliable
gravelinstitute.org,usa,far left,mixed,mostly free,organization/foundation,minimal traffic,medium credibility,mixed
mavenroundtable.io,usa,left,mixed,mostly free,website,minimal traffic,medium credibility,mixed
levernews.com,usa,left,high,mostly free,website,minimal traffic,high credibility,reliable
thelily.com,usa,left,high,mostly free,website,medium traffic,high credibility,reliable
themilitant.com,usa,left,mixed,mostly free,newspaper,minimal traffic,medium credibility,mixed
thenarwhal.ca,canada,left,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
thenation.com,usa,left,high,mostly free,magazine,medium traffic,high credibility,reliable
palestinechronicle.com,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
phnompenhpost.com,cambodia,left,mixed,limited freedom,newspaper,medium traffic,medium credibility,mixed
progressive.org,usa,left,mixed,mostly free,magazine,medium traffic,high credibility,mixed
theroot.com,usa,left,mixed,mostly free,website,high traffic,high credibility,mixed
thelasource.com,canada,left,mixed,mostly free,newspaper,minimal traffic,medium credibility,mixed
thestranger.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
texasobserver.org,usa,left,high,mostly free,magazine,minimal traffic,high credibility,reliable
villagevoice.com,usa,left,high,mostly free,newspaper,medium traffic,high credibility,reliable
voice-online.co.uk,united kingdom,left,mixed,mostly free,newspaper,medium traffic,high credibility,mixed
thewalrus.ca,canada,left,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
washingtonspectator.org,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
theweek.com,usa,left,high,mostly free,website,high traffic,high credibility,reliable
worldcantwait.net,usa,far left,mixed,mostly free,organization/foundation,minimal traffic,medium credibility,mixed
thegrio.com,usa,left,mixed,mostly free,website,high traffic,high credibility,mixed
thisisthezerohour.com,usa,left,high,mostly free,website,minimal traffic,high credibility,reliable
them.us,usa,left,high,mostly free,website,medium traffic,high credibility,reliable
this.org,canada,left,mixed,mostly free,magazine,minimal traffic,high credibility,mixed
towleroad.com,usa,left,high,mostly free,website,medium traffic,high credibility,reliable
treehugger.com,usa,left,high,mostly free,website,medium traffic,high credibility,reliable
truthdig.com,usa,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
truthout.org,usa,left,mixed,mostly free,organization/foundation,medium traffic,medium credibility,mixed
truththeory.com,united kingdom,left,high,mostly free,website,minimal traffic,high credibility,reliable
unicornriot.ninja,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
uproxx.com,usa,left,mixed,mostly free,website,high traffic,medium credibility,mixed
upworthy.com,usa,left,mixed,mostly free,website,high traffic,high credibility,mixed
vanityfair.com,usa,left,mixed,mostly free,magazine,high traffic,high credibility,mixed
vox.com,usa,left,high,mostly free,website,high traffic,high credibility,reliable
wallstreetonparade.com,usa,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
washingtonbabylon.com,usa,left,high,mostly free,website,minimal traffic,high credibility,reliable
washingtonpress.com,usa,left,mixed,mostly free,website,medium traffic,medium credibility,mixed
washingtonian.com,usa,left,high,mostly free,magazine,medium traffic,high credibility,reliable
wearyourvoicemag.com,usa,left,high,mostly free,website,minimal traffic,high credibility,reliable
wehuntedthemammoth.com,usa,left,high,mostly free,website,medium traffic,high credibility,reliable
whowhatwhy.org,usa,left,mixed,mostly free,website,minimal traffic,medium credibility,mixed
wonkette.com,usa,left,mixed,mostly free,website,medium traffic,medium credibility,mixed
workers.org,usa,far left,mixed,mostly free,newspaper,medium traffic,medium credibility,mixed
wsws.org,usa,left,mixed,mostly free,website,medium traffic,high credibility,mixed
yesmagazine.org,usa,left,high,mostly free,magazine,medium traffic,high credibility,reliable
tyt.com,usa,left,mixed,mostly free,tv station,high traffic,medium credibility,mixed
100milefreepress.net,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
604now.com,canada,left-center,mixed,mostly free,newspaper,medium traffic,high credibility,mixed
972mag.com,usa,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
go.com,usa,left-center,high,mostly free,tv station,high traffic,high credibility,reliable
abc.net.au,australia,left-center,high,mostly free,tv station,high traffic,high credibility,reliable
abc11.com,usa,left-center,high,mostly free,tv station,medium traffic,high credibility,reliable
abbynews.com,canada,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
abovethelaw.com,usa,left-center,high,mostly free,website,medium traffic,high credibility,reliable
theadvocate.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
aceshowbiz.com,indonesia,left-center,mixed,limited freedom,website,medium traffic,medium credibility,mixed
aclu.org,usa,left-center,mixed,mostly free,organization/foundation,medium traffic,medium credibility,mixed
adaderana.lk,sri lanka,left-center,mixed,limited freedom,website,medium traffic,medium credibility,mixed
aeon.co,australia,left-center,high,mostly free,website,medium traffic,high credibility,reliable
affinitymagazine.us,usa,left-center,mixed,mostly free,magazine,minimal traffic,low credibility,mixed
africanarguments.org,united kingdom,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
africanews.com,france,left-center,mixed,mostly free,tv station,medium traffic,high credibility,mixed
agassizharrisonobserver.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
ahvalnews.com,usa,left-center,mixed,mostly free,website,medium traffic,medium credibility,mixed
airdrietoday.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
messagemedia.co,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
durhamregion.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
beaconjournal.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
aljazeera.com,qatar,left-center,mixed,limited freedom,tv station,high traffic,medium credibility,mixed
al-monitor.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
al-sura.com,usa,left-center,mixed,mostly free,website,minimal traffic,medium credibility,mixed
guttmacher.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
alaskahighwaynews.ca,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
timesunion.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
albertaviews.ca,canada,left-center,high,mostly free,magazine,minimal traffic,high credibility,reliable
aldergrovestar.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
allgov.com,usa,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
simcoe.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
northbaynipissing.com,canada,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
amny.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
americamagazine.org,usa,left-center,high,mostly free,magazine,medium traffic,high credibility,reliable
americanimmigrationcouncil.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
americanpurpose.com,usa,left-center,high,mostly free,website,medium traffic,high credibility,reliable
amestrib.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
amnesty.org,united kingdom,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
thespec.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
heraldbulletin.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
andovertownsman.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
annistonstar.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
anthropocenemagazine.org,usa,left-center,high,mostly free,magazine,minimal traffic,high credibility,reliable
adl.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
aol.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
apmreports.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
apple.com,usa,left-center,mixed,mostly free,app/website,high traffic,high credibility,mixed
aptnnews.ca,canada,left-center,high,mostly free,tv station,medium traffic,high credibility,reliable
areomagazine.com,united kingdom,left-center,high,mostly free,website,medium traffic,high credibility,reliable
azcapitoltimes.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
tucson.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
azdailysun.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
azcentral.com,usa,left-center,high,mostly free,newspaper,high traffic,high credibility,reliable
arktimes.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
armscontrol.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
insideottawavalley.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
arte.tv,france/germany,left-center,mixed,mostly free,tv station,high traffic,high credibility,mixed
citizen-times.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
asiasentinel.com,usa,left-center,mixed,mostly free,website,minimal traffic,medium credibility,mixed
aspeniaonline.it,italy,left-center,high,moderate freedom,organization/foundation,minimal traffic,high credibility,reliable
aspeninstitute.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
sasktoday.ca,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
apnews.com,usa,left-center,high,mostly free,news agency,high traffic,high credibility,reliable
atavist.com,usa,left-center,very high,mostly free,magazine,medium traffic,high credibility,reliable
onlineathens.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
athensreview.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
enewscourier.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
atlantablackstar.com,usa,left-center,mixed,mostly free,website,high traffic,high credibility,mixed
ajc.com,usa,left-center,high,mostly free,newspaper,high traffic,high credibility,reliable
theatlantic.com,usa,left-center,high,mostly free,magazine,high traffic,high credibility,reliable
atlanticmedia.com,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
attn.com,usa,left-center,high,mostly free,website,medium traffic,high credibility,reliable
yorkregion.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
statesman.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
austindailyherald.com,usa,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
avclub.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
axios.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
wired.com,usa,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
balkaninsight.com,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
baltimoresun.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
bangordailynews.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
baptistnews.com,usa,left-center,high,mostly free,news agency,medium traffic,high credibility,reliable
barrietoday.com,canada,left-center,high,mostly free,website,medium traffic,high credibility,reliable
theadvocate.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
battlecreekenquirer.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
baxterbulletin.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
baynature.org,usa,left-center,high,mostly free,magazine,medium traffic,high credibility,reliable
bbc.com,united kingdom,left-center,high,mostly free,tv station,high traffic,high credibility,reliable
tmnews.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
bellingcat.com,united kingdom,left-center,mixed,mostly free,website,medium traffic,high credibility,mixed
bellinghamherald.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
berkeleyside.com,usa,left-center,high,mostly free,website,medium traffic,high credibility,reliable
berkshireeagle.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
berliner-zeitung.de,usa,left-center,mixed,mostly free,newspaper,high traffic,high credibility,mixed
bing.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
birminghammail.co.uk,united kingdom,right-center,mixed,mostly free,newspaper,high traffic,high credibility,mixed
bleacherreport.com,usa,left-center,mixed,mostly free,website,high traffic,high credibility,mixed
bloomberg.com,usa,left-center,mixed,mostly free,tv station,high traffic,high credibility,mixed
bdtonline.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
bluestemprairie.com,usa,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
boston.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
bostonglobe.com,usa,left-center,high,mostly free,newspaper,high traffic,high credibility,reliable
bgr.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
muskokaregion.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
bramptonguardian.com,canada,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
brennancenter.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
enterprisenews.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
brookings.edu,usa,left-center,very high,mostly free,organization/foundation,medium traffic,high credibility,reliable
thebulletin.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
insidehalton.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
hometownsource.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
businessinsider.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
bustle.com,usa,left-center,mixed,mostly free,magazine,high traffic,high credibility,mixed
buzzfeed.com,usa,left-center,mixed,mostly free,website,high traffic,medium credibility,mixed
buzzfeednews.com,usa,left-center,mixed,mostly free,website,high traffic,high credibility,mixed
bylinetimes.com,united kingdom,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
caledonenterprise.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
cambridgetimes.ca,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
campbellrivermirror.com,canada,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
canadaland.com,canada,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
capitalgazette.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
caribbeanlifenews.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
carnegieendowment.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
carolinapublicpress.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
carriagetownenews.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
catchnews.com,india,left-center,mixed,limited freedom,website,medium traffic,medium credibility,mixed
cbsnews.com,usa,left-center,high,mostly free,tv station,high traffic,high credibility,reliable
cbslocal.com,usa,left-center,high,mostly free,tv station,high traffic,high credibility,reliable
cecildaily.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
censor.net,ukraine,left-center,mixed,moderate freedom,website,high traffic,high credibility,mixed
c4ads.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
cgdev.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
centerforinquiry.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
internationalpolicy.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
cnas.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
populardemocracy.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
publicintegrity.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
cbpp.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
focustaiwan.tw,taiwan,left-center,high,mostly free,news agency,medium traffic,high credibility,reliable
chalkbeat.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
channel4.com,united kingdom,left-center,high,mostly free,tv station,high traffic,high credibility,reliable
wvgazettemail.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
charlotteobserver.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
cheddar.com,usa,left-center,high,mostly free,tv station,medium traffic,high credibility,reliable
cheboygannews.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
chemainusvalleycourier.ca,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
courierpostonline.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
suntimes.com,usa,left-center,high,mostly free,newspaper,high traffic,high credibility,reliable
chickashanews.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
theprogress.com,canada,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
chinaglobalsouth.com,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
citizentruth.org,usa,left-center,mixed,mostly free,website,minimal traffic,medium credibility,mixed
citizensforethics.org,usa,left-center,mixed,mostly free,organization/foundation,minimal traffic,medium credibility,mixed
ctj.org,usa,left-center,mixed,mostly free,organization/foundation,minimal traffic,high credibility,mixed
bloomberg.com,usa,left-center,high,mostly free,website,medium traffic,high credibility,reliable
cityandstateny.com,usa,left-center,high,mostly free,website,medium traffic,high credibility,reliable
claremoreprogress.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
cleburnetimesreview.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
clintonherald.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
cloverdalereporter.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
cnbc.com,usa,left-center,mixed,mostly free,tv station,high traffic,high credibility,mixed
coed.com,usa,left-center,mixed,mostly free,website,minimal traffic,medium credibility,mixed
thedailyreporter.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
columbiatribune.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
cjr.org,usa,left-center,high,mostly free,magazine,medium traffic,high credibility,reliable
colombiareports.com,columbia,left-center,mixed,limited freedom,organization/foundation,minimal traffic,medium credibility,mixed
dispatch.com,usa,left-center,high,mostly free,newspaper,high traffic,high credibility,reliable
investigaterussia.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
commoncause.org,usa|,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
commonwealmagazine.org,usa,left-center,high,mostly free,magazine,medium traffic,high credibility,reliable
commonwealthfund.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
comoxvalleyrecord.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
complex.com,usa,left-center,mixed,mostly free,website,high traffic,high credibility,mixed
ctpost.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
pogo.org,usa,left-center,mixed,mostly free,organization/foundation,minimal traffic,high credibility,mixed
coopercrier.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
caller.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
cowichanvalleycitizen.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
crosscut.com,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
ctmirror.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
cullmantimes.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
dailycommercial.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
gazettenet.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
mirror.co.uk,united kingdom,left-center,mixed,mostly free,newspaper,high traffic,medium credibility,mixed
nation.africa,kenya,left-center,mixed,limited freedom,website,high traffic,medium credibility,mixed
dnj.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
commercial-news.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
dawn.com,pakistan,left-center,mixed,limited freedom,newspaper,high traffic,medium credibility,mixed
dcist.com,usa,left-center,high,mostly free,website,medium traffic,high credibility,reliable
dcreport.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
deadline.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
deccanherald.com,india,left-center,mixed,limited freedom,newspaper,high traffic,medium credibility,mixed
debunkingdenialism.com,sweden,left-center,high,excellent,website,minimal traffic,high credibility,reliable
delawareonline.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
delo.si,slovenia,left-center,mixed,moderate freedom,newspaper,high traffic,high credibility,mixed
democracy21.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
democratandchronicle.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
demos.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
denverpost.com,usa,left-center,high,mostly free,newspaper,high traffic,high credibility,reliable
westword.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
freep.com,usa,left-center,high,mostly free,newspaper,high traffic,high credibility,reliable
zeit.de,usa,left-center,high,mostly free,newspaper,high traffic,high credibility,reliable
digg.com,usa,left-center,mixed,mostly free,website,high traffic,high credibility,mixed
diply.com,canada,left-center,mixed,mostly free,website,medium traffic,medium credibility,mixed
diversityinc.com,usa,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
dundalkeagle.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
dutchreview.com,netherlands,left-center,mixed,mostly free,website,medium traffic,high credibility,mixed
dw.com,germany,left-center,high,mostly free,tv station,high traffic,high credibility,reliable
columbia.edu,usa,left-center,high,mostly free,organization/foundation,high traffic,high credibility,reliable
earthjustice.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
eastbaytimes.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
thestar.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
econofact.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
epi.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
economicshelp.org,united kingdom,left-center,high,mostly free,website,medium traffic,high credibility,reliable
effinghamdailynews.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
egyptianstreets.com,egypt,left-center,mixed,total oppression,website,mediumtraffic,medium credibility,mixed
ejinsight.com,hong kong,left-center,mixed,limited freedom,website,minimal traffic,medium credibility,mixed
eldiario.es,spain,left-center,high,mostly free,online newspaper,high traffic,high credibility,reliable
eldiariony.com,usa,left-center,high,mostly free,newspaper,high traffic,high credibility,reliable
elpais.com,spain,left-center,high,mostly free,newspaper,high traffic,high credibility,reliable
elpasotimes.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
eff.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
emerging-europe.com,united kingdom,left-center,mixed,mostly free,website,minimal traffic,medium credibility,mixed
engadget.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
ew.com,usa,left-center,high,mostly free,magazine,high traffic,high credibility,reliable
orangeville.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
espn.com,usa,left-center,high,mostly free,tv station,high traffic,high credibility,reliable
registerguard.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
euobserver.com,belgium,left-center,high,mostly free,website,medium traffic,high credibility,reliable
euractiv.com,beligium,left-center,high,mostly free,website,medium traffic,high credibility,reliable
eurasiareview.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
euromaidanpress.com,ukraine,left-center,high,limited freedom,newspaper (online),medium traffic,high credibility,reliable
euronews.com,france,left-center,high,mostly free,tv station,high traffic,high credibility,reliable
courierpress.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
exposingtruth.com,united kingdom,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
facebook.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
factmyth.com,usa,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
fair.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
fairobserver.com,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
fairvote.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
southernminn.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
fastcompany.com,usa,left-center,high,mostly free,magazine,high traffic,high credibility,reliable
feministfrequency.com,canada,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
fightforthefuture.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
fivethirtyeight.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
foodnavigator.com,united kingdom,left-center,mixed,mostly free,magazine,medium traffic,high credibility,mixed
fpif.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
niagarathisweek.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
fwweekly.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
francetvinfo.fr,france,left-center,high,mostly free,radio/tv station,high traffic,high credibility,reliable
freakonomics.com,usa,left-center,high,mostly free,radio station,medium traffic,high credibility,reliable
freethink.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
fresnobee.com,usa,left-center,high,mostly free,website,medium traffic,high credibility,reliable
gadsdentimes.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
gainesville.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
wyborcza.pl,poland,left-center,high,moderate freedom,newspaper,high traffic,high credibility,reliable
glamour.com,usa,left-center,high,mostly free,website,high traffic,high credibility,reliable
globalcitizen.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
globalnews.ca,canada,left-center,high,mostly free,website,high traffic,high credibility,reliable
theworld.org,usa,left-center,high,mostly free,website,medium traffic,high credibility,reliable
globalriskinsights.com,united kingdom,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
globaltimes.cn,china,left,mixed,total oppression,newspaper,high traffic,low credibility,mixed
gmanetwork.com,philippines,left-center,mixed,limited freedom,tv station,high traffic,medium credibility,mixed
goldstreamgazette.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
google.com,usa,left-center,mixed,mostly free,organization/foundation,high traffic,high credibility,mixed
gothamist.com,usa,left-center,high,mostly free,website,medium traffic,high credibility,reliable
governing.com,usa,left-center,high,mostly free,website,medium traffic,high credibility,reliable
whistleblower.org,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
govexec.com,usa,left-center,high,mostly free,magazine,medium traffic,high credibility,reliable
grandrapidsmn.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
greensboro.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
greensburgdailynews.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
grid.news,usa,left-center,high,mostly free,website,medium traffic,high credibility,reliable
grist.org,usa,left-center,high,mostly free,website,medium traffic,high credibility,reliable
alliednews.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
guelphmercury.com,canada,left-center,high,mostly free,website,minimal traffic,high credibility,reliable
gunviolencearchive.org,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
heraldmailmedia.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
hamiltonnews.com,canada,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
thespec.com,canada,left-center,high,mostly free,newspaper,medium traffic,high credibility,reliable
harpers.org,usa,left-center,high,mostly free,magazine,medium traffic,high credibility,reliable
courant.com,usa,left center,high,mostly free,newspaper,medium traffic,high credibility,reliable
